ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDXX16663,Adonis\AS-054,Ms. Tonya Branch,F,2017-11-15,2021-10-14,2021-12-04,0,Finland,Anguilla,8174.5,2,1,3,
IDXX97837,Adonis\AS-033,Mr. Larry Germon,M,1997-11-02,2021-06-03,2022-06-02,1,Bangladesh,Guam,5822.87,1,0,1,
IDZZ90628,Omega\OG-295,Mr. Joel Pinkham,M,1995-03-03,2021-07-30,2022-05-05,1,Bangladesh,Vanuatu,9392.05,2,1,1,782.73
IDZZ81030,Omega\OG-141,Ms. Ruby Cooney,F,2008-01-12,2021-12-16,2022-03-19,0,Trinidad and Tobago,Montenegro,8447.71,0,1,2,1282.11
IDZZ82053,Omega\OG-989,Mr. Robert Olsen,M,1985-03-17,2021-08-10,2022-03-11,1,New Caledonia,Lebanon,14918.67,1,1,1,1177.78
IDZZ11962,Omega\OG-892,Ms. Karen Patterson,F,1991-05-24,2021-01-26,2021-03-07,1,El Salvador,Montenegro,10414.25,1,0,3,2280.2
IDZZ34362,Omega\OG-987,Ms. Janet Gualtieri,F,2021-04-10,2021-07-14,2021-09-25,0,Rwanda,Slovenia,5549.67,1,0,2,
IDZZ33322,Omega\OG-369,Ms. Andrea Cooper,F,2012-09-06,2021-10-06,2022-01-04,0,Wallis and Futuna,Tonga,850.63,1,1,2,361.36
IDYY84125,Calisto\CS-993,Ms. Pearl Staten,F,2005-05-18,2021-01-17,2021-11-22,1,North Korea,Denmark,7809.11,1,0,1,
IDYY01492,Calisto\CS-014,Ms. Lena Mcclellan,F,1998-10-11,2021-02-19,2021-04-06,1,Algeria,Monaco,1823.6,2,0,2,
IDYY97661,Calisto\CS-020,Ms. Amy Hague,F,1997-10-08,2021-01-16,2021-12-25,1,Congo [Republic],Brunei,11008.16,2,1,2,
IDZZ01195,Omega\OG-809,Mr. Darrell Renteria,M,1982-09-16,2021-05-13,2021-11-07,1,Rwanda,United Arab Emirates,3836.37,2,0,2,763.89
IDXX24687,Adonis\AS-740,Ms. Nan Bonilla,F,1996-03-29,2021-11-02,2022-10-27,1,Iraq,Austria,2911.73,2,1,1,
IDXX98302,Adonis\AS-639,Ms. Anita Amato,F,1997-07-03,2021-10-03,2022-07-14,1,France,Australia,15175.77,2,0,1,1813.87
IDZZ07301,Omega\OG-689,Mr. William Mitchell,M,2011-06-13,2021-08-31,2022-06-24,0,Saint Lucia,Belize,2971.13,1,0,1,
IDXX67403,Adonis\AS-326,Ms. Tierra Ramirez,F,2007-05-17,2021-01-29,2021-10-27,0,Seychelles,Gaza Strip,4598.44,0,0,1,854.36
IDYY57354,Calisto\CS-062,Ms. Mary Pender,F,2009-01-06,2021-10-01,2022-02-05,0,Nicaragua,Bouvet Island,11091.55,1,0,2,2077.3
IDZZ40116,Omega\OG-301,Ms. Beverly Wilson,F,2004-08-11,2021-01-12,2021-04-29,1,Iraq,Vietnam,6816.69,1,1,2,1108.15
IDYY25169,Calisto\CS-653,Ms. Migdalia Noland,F,1980-12-05,2021-01-15,2021-11-05,1,Uganda,Mauritania,5174.4,0,0,1,
IDYY95059,Calisto\CS-639,Mr. Stanley Bluma,M,1995-03-31,2021-05-09,2021-07-31,1,Belarus,Ethiopia,5086.21,0,0,2,1349.46
IDXX42940,Adonis\AS-064,Ms. Suzanne Cartwright,F,2017-08-31,2021-01-20,2021-08-15,0,U.S. Virgin Islands,Egypt,9649.54,0,0,2,
IDXX32807,Adonis\AS-376,Ms. Beverly Ellison,F,2007-06-11,2021-05-25,2021-10-25,0,Latvia,Seychelles,7400.77,0,0,2,1880.82
IDZZ52975,Omega\OG-461,Ms. Stephanie Evans,F,1981-12-25,2021-11-05,2022-02-11,1,Belize,Panama,1275.57,2,0,2,
IDZZ35170,Omega\OG-021,Mr. Randy Evans,M,1993-09-08,2021-08-28,2022-03-07,1,Jordan,Albania,1861.53,2,0,1,
IDZZ26120,Omega\OG-634,Ms. Donna Wait,F,2019-07-14,2021-09-26,2022-06-18,0,Tonga,Samoa,888.78,0,1,2,466.32
IDZZ06604,Omega\OG-189,Mr. John Radford,M,1990-10-29,2021-07-29,2022-07-23,1,Dominican Republic,Tunisia,7943.38,1,0,2,1360.25
IDXX09927,Adonis\AS-160,Mr. Brian Edwards,M,2016-12-26,2021-01-30,2021-08-09,0,Brazil,Nepal,15245.39,1,1,1,1637.57
IDZZ98342,Omega\OG-953,Ms. Yolanda Swiger,F,2013-01-29,2021-11-06,2022-05-27,0,Falkland Islands [Islas Malvinas],India,15053.15,1,1,1,1079.46
IDYY71240,Calisto\CS-661,Mr. George Penttila,M,2017-08-17,2021-10-07,2022-08-29,0,Sierra Leone,Chad,3408.82,0,0,1,690.91
IDXX42613,Adonis\AS-695,Ms. Martha Newton,F,2018-10-10,2021-12-22,2022-07-03,0,Nepal,British Virgin Islands,13835.45,2,0,2,2963.65
IDXX72519,Adonis\AS-803,Mr. Clifton Romero,M,2011-05-29,2021-05-25,2021-10-19,0,Iran,Togo,6039.41,0,1,2,
IDZZ71339,Omega\OG-244,Mr. Clifford Greenleaf,M,1991-09-03,2021-12-22,2022-09-07,1,Pakistan,Cambodia,4164.42,0,1,1,693.43
IDYY39880,Calisto\CS-784,Mr. James Romig,M,1998-04-23,2021-10-03,2022-09-24,1,Albania,Wallis and Futuna,16556.58,2,0,2,2949.94
IDYY79672,Calisto\CS-548,Ms. Kathy Newberg,F,2011-11-07,2021-12-20,2022-03-19,0,Singapore,Equatorial Guinea,10409.31,2,0,2,
IDZZ64679,Omega\OG-420,Mr. Vernon Gonzales,M,1986-07-02,2021-05-07,2022-02-17,1,Peru,Georgia,13026.96,1,0,1,1187.96
IDZZ02924,Omega\OG-036,Ms. Sharon Dozier,F,2000-10-24,2021-08-08,2021-12-11,1,Martinique,Uganda,10336.7,2,0,2,1538.69
IDYY06480,Calisto\CS-794,Ms. Amanda Larson,F,1988-04-19,2021-08-05,2021-12-27,1,South Georgia and the South Sandwich Islands,Ireland,12285.3,2,0,2,2261.22
IDYY73197,Calisto\CS-436,Ms. Patricia Merle,F,2001-07-03,2021-03-08,2021-05-20,1,Andorra,Moldova,2164.44,0,1,2,796.45
IDXX45876,Adonis\AS-988,Mr. Paul Stafford,M,2001-06-24,2021-09-20,2022-08-28,1,Papua New Guinea,Moldova,12445.88,2,0,2,2792.14
IDXX50163,Adonis\AS-691,Ms. Billie Barrett,F,2007-09-23,2021-12-05,2022-11-21,0,Comoros,Guinea,6403.96,1,1,1,845.99
IDYY46412,Calisto\CS-563,Mr. Robert Gregory,M,1986-09-11,2021-04-09,2021-06-23,1,São Tomé and Príncipe,Tunisia,3763.86,1,0,2,
IDYY32567,Calisto\CS-568,Mr. Tony Fahnestock,M,1987-08-16,2021-11-21,2022-03-29,1,Ireland,Antigua and Barbuda,6118.41,1,1,2,1258.87
IDYY94854,Calisto\CS-711,Mr. Kevin Mcclain,M,1988-11-13,2021-04-01,2021-08-24,1,Equatorial Guinea,North Korea,12164.26,2,0,2,2247.52
IDZZ95882,Omega\OG-318,Ms. Rita Gillespie,F,2003-08-25,2021-02-23,2022-02-16,1,Grenada,Turkmenistan,11693.05,2,0,1,997.09
IDXX22046,Adonis\AS-019,Ms. Debra Cooke,F,1983-08-27,2021-10-08,2022-02-10,1,Romania,Denmark,1570.47,2,0,2,
IDZZ40636,Omega\OG-098,Ms. Harriet Trevino,F,2014-03-16,2021-08-07,2022-05-04,0,São Tomé and Príncipe,Zambia,2772.93,1,0,1,
IDZZ10086,Omega\OG-590,Mr. Christopher Bishop,M,1995-10-08,2021-05-27,2022-02-23,1,Barbados,Montserrat,486.69,1,0,1,
IDZZ27025,Omega\OG-175,Mr. Craig Richardson,M,2008-02-02,2021-08-11,2021-11-11,0,Martinique,Lebanon,9734.78,2,0,2,
IDYY01973,Calisto\CS-391,Mr. David Porter,M,1980-03-11,2021-09-01,2022-08-26,1,Finland,French Southern Territories,12969.78,2,0,1,1346.0
IDXX52220,Adonis\AS-759,Ms. Pearl Spencer,F,2018-08-10,2021-04-12,2021-07-23,0,Turkey,Bhutan,5213.03,2,1,2,1127.7
IDZZ83809,Omega\OG-841,Ms. Charlotte Newcombe,F,2016-06-16,2021-11-28,2022-04-22,0,French Guiana,Sri Lanka,14751.5,2,1,2,1762.94
IDXX54711,Adonis\AS-175,Ms. Aisha Garrett,F,1983-01-20,2021-05-21,2021-07-07,1,Cameroon,Uganda,2310.15,0,1,2,858.98
IDZZ55244,Omega\OG-941,Ms. Ashley Minick,F,2020-11-18,2021-12-11,2022-09-19,0,Slovenia,Lesotho,8538.62,0,1,1,835.39
IDYY32512,Calisto\CS-270,Mr. Max Twine,M,2004-12-27,2021-08-13,2022-02-06,1,Georgia,San Marino,2502.12,2,0,2,
IDZZ64381,Omega\OG-876,Mr. Kevin Madden,M,1997-03-18,2021-02-19,2021-07-20,1,Iran,Sweden,4005.69,2,1,2,702.81
IDYY77673,Calisto\CS-049,Ms. Linda Luce,F,2020-08-08,2021-10-04,2022-07-10,0,Benin,Tuvalu,19467.71,1,0,2,3422.07
IDZZ83464,Omega\OG-018,Mr. Philip Bender,M,1993-04-11,2021-07-31,2021-09-21,1,Bangladesh,Uruguay,16584.63,1,0,2,2390.6
IDZZ81767,Omega\OG-243,Ms. Tasha Wilder,F,2007-01-12,2021-01-30,2021-02-17,0,Kuwait,Australia,11030.79,2,0,2,1516.97
IDXX36398,Adonis\AS-803,Ms. Caroline Sappington,F,2007-10-08,2021-09-25,2022-06-10,0,Senegal,Greenland,6637.57,0,0,1,1053.24
IDYY09178,Calisto\CS-595,Mr. Robert Suk,M,2001-05-18,2021-07-09,2022-03-03,1,New Zealand,Costa Rica,11680.3,1,1,1,1214.88
IDXX41603,Adonis\AS-283,Ms. Nell Smith,F,1997-10-30,2021-10-15,2021-10-29,1,Ecuador,Latvia,10963.59,1,0,2,2590.57
IDYY80419,Calisto\CS-885,Mr. John Alexander,M,2007-01-21,2021-05-24,2021-08-31,0,Swaziland,Norfolk Island,12302.94,1,0,2,2268.79
IDYY00112,Calisto\CS-575,Mr. Donald Jenkins,M,2012-10-28,2021-05-29,2022-05-09,0,Tuvalu,Sudan,16412.71,2,1,1,
IDZZ52217,Omega\OG-872,Mr. Christopher Byrne,M,2008-08-08,2021-07-15,2021-10-08,0,French Southern Territories,Vanuatu,9266.33,2,1,2,1168.04
IDZZ32556,Omega\OG-493,Ms. Linda Cordano,F,2016-08-21,2021-12-05,2022-04-19,0,Denmark,Spain,2005.56,0,1,2,583.31
IDYY60430,Calisto\CS-989,Mr. Carl Gange,M,1984-09-09,2021-09-04,2021-12-15,1,Timor-Leste,Latvia,11520.77,2,0,2,2133.55
IDZZ07385,Omega\OG-155,Ms. Peggy Tull,F,1990-04-03,2021-04-12,2021-08-04,1,Dominican Republic,Namibia,10688.1,1,1,2,1529.12
IDZZ69346,Omega\OG-444,Ms. Melanie Jimenes,F,2016-09-27,2021-09-03,2021-10-04,0,Cayman Islands,Philippines,15678.26,2,0,2,2074.92
IDZZ31741,Omega\OG-607,Mr. Carl Bruton,M,2015-07-01,2021-01-20,2021-07-11,0,Morocco,Kiribati,16335.79,1,0,2,2255.0
IDZZ40089,Omega\OG-229,Ms. Hazel Porter,F,2003-01-19,2021-05-26,2021-09-20,1,Nepal,Samoa,12072.51,1,0,2,1857.54
IDXX95036,Adonis\AS-431,Mr. Jimmy Bedwell,M,2009-09-06,2021-06-02,2022-05-27,0,Algeria,Bosnia and Herzegovina,2273.53,2,0,1,425.0
IDZZ21866,Omega\OG-551,Mr. Pablo Sharkey,M,1984-11-20,2021-02-08,2021-10-09,1,Timor-Leste,Guinea,15143.93,2,1,2,1900.02
IDYY11055,Calisto\CS-115,Mr. James Gompf,M,1987-01-31,2021-01-17,2021-02-19,1,Christmas Island,Lebanon,8860.29,2,1,2,1548.58
IDYY61635,Calisto\CS-558,Mr. Perry Wilkinson,M,2015-10-10,2021-01-11,2021-12-04,0,United States,United Arab Emirates,12582.91,1,1,2,2081.1
IDXX58633,Adonis\AS-636,Mr. Allen Aguilar,M,2008-08-29,2021-04-15,2021-10-22,0,Iran,Kenya,3974.62,0,1,1,710.72
IDXX14040,Adonis\AS-964,Ms. Kimberly Davis,F,2020-08-10,2021-12-03,2022-10-26,0,Mauritania,Turks and Caicos Islands,6266.44,1,0,1,921.06
IDZZ43460,Omega\OG-471,Ms. Barbara Mckenna,F,2002-06-24,2021-11-05,2022-05-30,1,Turkmenistan,Argentina,15183.01,2,1,1,1085.62
IDZZ67666,Omega\OG-331,Mr. William Basham,M,1987-05-02,2021-02-06,2021-06-25,1,Côte d'Ivoire,Samoa,18412.51,1,1,2,
IDYY01446,Calisto\CS-313,Ms. Katherine Fullilove,F,1997-10-16,2021-10-11,2022-09-20,1,Pitcairn Islands,South Georgia and the South Sandwich Islands,7859.48,1,1,1,945.1
IDXX12340,Adonis\AS-082,Mr. Russell Coons,M,1985-09-20,2021-07-07,2021-11-27,1,Oman,Suriname,12108.8,2,0,2,2715.52
IDYY32787,Calisto\CS-876,Ms. Betty Hinkle,F,2005-02-15,2021-09-18,2022-01-01,1,Mayotte,Bermuda,12639.63,2,1,2,2094.71
IDZZ66715,Omega\OG-607,Ms. Reta Donart,F,2018-08-17,2021-02-01,2021-09-02,0,Northern Mariana Islands,Niger,13953.86,1,1,1,1017.54
IDXX67004,Adonis\AS-468,Mr. Charles Hahn,M,2005-08-30,2021-09-29,2021-11-25,1,Panama,Palau,15725.77,2,0,2,
IDXX86967,Adonis\AS-118,Ms. Miriam Pemberton,F,1990-11-06,2021-01-06,2021-05-26,1,Mauritius,Germany,9191.23,1,1,2,
IDXX56941,Adonis\AS-095,Mr. Roy Delarosa,M,2002-07-21,2021-03-11,2021-12-20,1,Samoa,Guam,5634.89,2,0,1,870.07
IDYY39819,Calisto\CS-652,Ms. Carman Long,F,1995-08-06,2021-09-01,2022-06-14,1,Ireland,Jordan,4366.6,0,0,1,
IDXX12796,Adonis\AS-587,Mr. Mark Clayton,M,1985-05-22,2021-11-12,2022-04-16,1,Belize,Costa Rica,974.38,0,1,2,632.58
IDXX50289,Adonis\AS-168,Ms. Marcia Tingley,F,1998-11-29,2021-01-30,2021-11-30,1,Puerto Rico,Argentina,6312.31,2,0,1,933.66
IDXX84452,Adonis\AS-905,Mr. Ken Meyer,M,1985-12-23,2021-05-19,2022-05-17,1,Timor-Leste,United Kingdom,13222.38,2,0,1,
IDYY07382,Calisto\CS-194,Mr. Kenneth Diefenderfer,M,2005-10-01,2021-01-28,2021-10-10,1,Albania,Estonia,1971.2,2,1,2,
IDZZ78390,Omega\OG-745,Mr. Genaro Leu,M,1996-10-04,2021-03-27,2021-06-17,1,Comoros,Malawi,1051.06,1,1,2,
IDYY60534,Calisto\CS-510,Mr. John Matthew,M,1984-11-03,2021-12-18,2022-10-18,1,Trinidad and Tobago,Sri Lanka,15346.66,2,0,1,1520.45
IDZZ18666,Omega\OG-455,Mr. Robert Payton,M,2005-01-16,2021-07-27,2021-08-28,1,Réunion,Chile,11609.07,2,0,3,2385.44
IDXX66192,Adonis\AS-793,Ms. Mary Call,F,1980-02-28,2021-01-17,2021-06-10,1,Bahrain,Uganda,3367.24,2,0,2,965.55
IDZZ93422,Omega\OG-837,Mr. Leonard Andrews,M,1996-10-02,2021-07-07,2022-06-13,1,Czech Republic,Belize,9527.1,2,1,1,784.39
IDYY72366,Calisto\CS-962,Ms. Jennifer Dibenedetto,F,1985-10-07,2021-01-12,2021-07-13,1,Svalbard and Jan Mayen,Finland,1741.41,1,1,1,
IDZZ85123,Omega\OG-409,Ms. Linda Knight,F,2017-10-27,2021-12-13,2022-04-29,0,Palestinian Territories,Namibia,6367.06,2,0,2,961.44
IDXX08636,Adonis\AS-351,Mr. Richard Walter,M,2016-11-19,2021-06-03,2022-03-26,0,Guinea,Bolivia,6614.74,0,1,2,1549.41
IDXX73616,Adonis\AS-717,Mr. Gary Carlan,M,2019-10-31,2021-07-01,2021-12-17,0,New Caledonia,Philippines,6093.64,2,0,2,
IDYY23593,Calisto\CS-599,Mr. Eric Jorge,M,2016-07-05,2021-06-01,2021-08-29,0,Comoros,Mayotte,176.19,1,1,2,
IDXX04215,Adonis\AS-957,Mr. Eldridge Ware,M,2009-09-11,2021-06-14,2021-07-31,0,Georgia,Zambia,6373.32,0,0,3,2310.76
IDYY96016,Calisto\CS-467,Ms. Christine Casey,F,2001-10-21,2021-12-10,2022-03-20,1,Iraq,Saint Vincent and the Grenadines,10576.77,1,1,2,1890.7
IDXX20054,Adonis\AS-530,Mr. Brandon Morales,M,1994-04-18,2021-07-03,2021-12-31,1,Pakistan,Guernsey,6241.22,0,0,1,
IDZZ12061,Omega\OG-703,Mr. Ross Howard,M,1984-11-29,2021-09-27,2021-11-18,1,United States,Venezuela,4512.95,2,1,2,749.44
IDZZ51735,Omega\OG-909,Ms. Helen Baer,F,1986-12-02,2021-05-27,2021-11-20,1,Eritrea,Timor-Leste,9846.1,1,1,2,1429.43
IDYY45922,Calisto\CS-298,Ms. Tammy Campbell,F,1987-06-28,2021-10-30,2022-10-25,1,Laos,Czech Republic,8135.15,2,0,1,956.44
IDYY92961,Calisto\CS-569,Mr. Richard Oneal,M,1996-07-14,2021-04-03,2021-05-28,1,Cambodia,Austria,9023.56,2,0,2,
IDYY39997,Calisto\CS-095,Mr. Jack Grist,M,2013-09-17,2021-10-22,2022-06-29,0,South Africa,Greenland,12441.59,1,0,1,1292.11
IDZZ77080,Omega\OG-303,Mr. Jerold York,M,2014-05-01,2021-02-20,2021-04-16,0,Slovakia,Equatorial Guinea,5311.29,0,1,2,941.87
IDYY47980,Calisto\CS-559,Ms. Edith Piccolomini,F,2001-08-12,2021-04-18,2021-05-21,1,Nigeria,Sri Lanka,7925.41,0,1,2,
IDXX25779,Adonis\AS-359,Ms. Francis Bryant,F,1991-10-02,2021-02-10,2021-08-10,1,Lithuania,Tonga,15931.49,2,1,1,1705.72
IDXX92972,Adonis\AS-655,Ms. Paula Collins,F,2000-01-31,2021-06-22,2021-12-30,1,Hungary,Montenegro,495.89,1,1,1,391.7
IDYY25329,Calisto\CS-717,Mr. Clifford Cadwallader,M,1989-04-15,2021-10-18,2022-07-30,1,Macau,Zambia,10134.37,1,1,2,
IDYY58722,Calisto\CS-581,Ms. Stacey Duckworth,F,1989-09-09,2021-12-12,2022-09-09,1,Guam,Guatemala,13162.79,2,1,1,1211.36
IDZZ50376,Omega\OG-800,Ms. Patricia Lindsey,F,2018-06-25,2021-08-07,2022-04-24,0,Paraguay,Benin,7546.81,1,0,2,1214.1
IDYY67672,Calisto\CS-077,Ms. Gina Russell,F,2020-02-29,2021-08-25,2022-05-21,0,Costa Rica,Azerbaijan,12562.52,1,1,2,2072.72
IDYY62986,Calisto\CS-118,Ms. Elizabeth Lamson,F,2002-05-06,2021-06-07,2021-08-17,1,Serbia,Paraguay,11015.21,2,0,2,2051.2
IDZZ11721,Omega\OG-509,Ms. Virginia Lindsay,F,1989-04-30,2021-07-25,2021-12-15,1,San Marino,Finland,2181.41,2,0,2,568.15
IDYY92951,Calisto\CS-486,Mr. Leonard Wheeler,M,1998-09-15,2021-08-28,2022-07-19,1,Trinidad and Tobago,Barbados,333.19,0,0,1,562.28
IDZZ50635,Omega\OG-589,Ms. Katie Laliberte,F,2018-06-25,2021-06-17,2022-05-01,0,Haiti,Wallis and Futuna,12049.65,1,1,2,
IDZZ55264,Omega\OG-888,Mr. Carl Weir,M,1995-12-08,2021-09-03,2021-12-27,1,Ghana,Guam,15571.15,1,1,2,2048.45
IDXX64294,Adonis\AS-573,Mr. John Peluso,M,2006-07-12,2021-05-20,2021-10-27,0,Cambodia,Yemen,6090.5,0,1,2,1451.48
IDYY34909,Calisto\CS-903,Ms. Gaynell Mcvay,F,2007-09-11,2021-09-11,2022-08-02,0,Bosnia and Herzegovina,Saint Helena,8086.85,2,0,1,829.64
IDZZ75267,Omega\OG-861,Ms. Lindsey Mcqueen,F,1987-05-13,2021-10-14,2022-08-28,1,India,Albania,5940.94,2,1,2,
IDZZ96506,Omega\OG-743,Mr. Rogelio Hobbs,M,1993-04-28,2021-07-10,2022-01-10,1,Cayman Islands,Faroe Islands,7256.81,1,1,1,
IDYY59209,Calisto\CS-112,Ms. Charlene Westberry,F,2005-04-18,2021-03-20,2021-05-03,1,Eritrea,Botswana,4488.17,0,1,2,1130.99
IDXX94117,Adonis\AS-345,Ms. Anna Woodard,F,1994-01-13,2021-08-30,2021-12-28,1,Saint Helena,Micronesia,17253.42,2,0,2,3744.56
